l,0000
g,00010
m,00011
d,0010
u,00110
w,00111
f,01000
c,01001
s,0101
e,011
i,1000
r,1001
y,101000
p,101001
b,101010
v,1010110
x,1010111000
6,1010111001000
9,1010111001001
8,1010111001010
4,1010111001011
z,10101110011
1,101011101000
j,101011101001
0,1010111010100
7,1010111010101
2,1010111010110
3,1010111010111
q,1010111011
k,10101111
o,1011
n,1100
h,1101
t,1110
a,1111
