(4389, 4492)
(2279, 2304)
(1475, 1650)
(703, 932)
(2229, 2429)
(6367, 6544)
(4955, 5083)
(767, 1008)
(5850, 5866)
(32, 292)
(6332, 6484)
(760, 1005)
(766, 767)
(2977, 3086)
(2828, 3087)
(810, 887)
(3646, 3687)
(5699, 5890)
(721, 904)
(4299, 4451)
(2967, 2989)
(1441, 1522)
(3, 135)
(4299, 4340)
(2364, 2381)
(4286, 4478)
(889, 895)
(6404, 6459)
(49, 65)
(3616, 3729)
(1467, 1708)
(2217, 2352)
(3538, 3628)
(1405, 1594)
(3644, 3711)
(3656, 3775)
(1472, 1587)
(6301, 6536)
(1454, 1494)
(2200, 2330)
(5684, 5865)
(84, 254)
(2171, 2393)
(2145, 2268)
(2251, 2332)
(207, 312)
(5644, 5871)
(1441, 1444)
(4246, 4406)
(878, 959)
(1507, 1675)
(2291, 2382)
(2128, 2180)
(758, 978)
(761, 884)
(5130, 5180)
(24, 74)
(5613, 5705)
(2881, 3049)
(2870, 2967)
(790, 1008)
(1546, 1685)
(1614, 1716)
(6456, 6599)
(4932, 5021)
(2146, 2292)
(1525, 1638)
(2362, 2417)
(4359, 4389)
(4254, 4379)
(1458, 1467)
(3648, 3656)
(69, 243)
(2100, 2307)
(5000, 5025)
(2154, 2302)
(4, 28)
(1493, 1641)
(3682, 3745)
(45, 54)
(3579, 3732)
(215, 262)
(1408, 1439)
(5679, 5688)
(3062, 3067)
(2155, 2406)
(4974, 5191)
(216, 294)
(5091, 5164)
(1487, 1677)
(2154, 2410)
(1533, 1676)
(6557, 6587)
(93, 237)
(4362, 4389)
(5640, 5866)
(21, 51)
(6390, 6534)
(160, 199)
(2220, 2419)
(4221, 4340)
(5714, 5716)
(2110, 2222)
(6372, 6584)
(3577, 3788)
(1430, 1616)
(3043, 3078)
(762, 882)
(721, 965)
(2289, 2292)
(2288, 2398)
(2953, 3000)
(766, 999)
(2165, 2207)
(2154, 2380)
(798, 896)
(1662, 1698)
(294, 306)
(2960, 3025)
(4205, 4401)
(2984, 3099)
(2888, 3105)
(4234, 4397)
(4316, 4354)
(2222, 2253)
(5, 59)
(4943, 4986)
(3572, 3699)
(2180, 2294)
(49, 177)
(20, 143)
(5674, 5745)
(1516, 1719)
(260, 286)
(2314, 2421)
(2941, 3119)
(2177, 2402)
(2146, 2258)
(49, 94)
(49, 307)
(2191, 2400)
(1516, 1594)
(5062, 5192)
(863, 930)
(709, 818)
(23, 301)
(179, 302)
(6303, 6365)
(969, 988)
(4398, 4446)
(4943, 5059)
(1464, 1594)
(35, 116)
(13, 74)
(2252, 2352)
(6512, 6520)
(195, 294)
(3034, 3119)
(5021, 5078)
(1445, 1472)
(2128, 2396)
(965, 1024)
(2305, 2412)
(724, 1014)
(6359, 6451)
(6390, 6544)
(2802, 2959)
(1586, 1718)
(838, 1021)
(4387, 4397)
(1523, 1534)
(6537, 6566)
(2875, 2879)
(709, 789)
(2905, 2967)
(93, 204)
(21, 109)
(6405, 6422)
(5826, 5869)
(1418, 1563)
(4956, 5002)
(5005, 5088)
(810, 847)
(1414, 1511)
(4366, 4481)
(6461, 6497)
(160, 313)
(93, 178)
(65, 323)
(262, 332)
(2953, 2984)
(4326, 4354)
(13, 308)
(5622, 5765)
(1444, 1711)
(91, 233)
(919, 932)
(987, 1015)
(5045, 5185)
(5016, 5036)
(3, 200)
(1641, 1648)
(1672, 1675)
(30, 293)
(6398, 6479)
(1486, 1700)
(3684, 3735)
(6480, 6520)
(4210, 4406)
(32, 199)
(746, 933)
(24, 318)
(1427, 1703)
(778, 944)
(2903, 2914)
(4915, 4966)
(4281, 4336)
(4281, 4490)
(59, 126)
(6456, 6589)
(1548, 1722)
(3575, 3648)
(1570, 1587)
(3656, 3727)
(4347, 4359)
(93, 257)
(6314, 6422)
(2964, 3108)
(6377, 6398)
(2856, 2900)
(1427, 1695)
(4340, 4379)
(154, 228)
(855, 870)
(3043, 3050)
(2122, 2231)
(6365, 6479)
(18, 243)
(878, 1024)
(4363, 4485)
(3089, 3104)
(4254, 4402)
(1646, 1726)
(969, 986)
(5067, 5148)
(3555, 3679)
(1410, 1525)
(2931, 3102)
(3651, 3689)
(2165, 2177)
(2936, 3096)
(1498, 1704)
(2931, 2933)
(2285, 2416)
(2216, 2403)
(3020, 3067)
(6332, 6567)
(1451, 1549)
(4947, 5152)
(4907, 5155)
(2851, 2972)
(2883, 2942)
(2192, 2288)
(3555, 3719)
(3588, 3628)
(151, 199)
(735, 896)
(1401, 1522)
(3547, 3775)
(6459, 6553)
(5618, 5717)
(2196, 2231)
(3000, 3110)
(1533, 1574)
(6429, 6478)
(3567, 3684)
(6478, 6534)
(2365, 2371)
(872, 913)
(2277, 2329)
(6338, 6571)
(4254, 4421)
(2249, 2416)
(3639, 3664)
(5613, 5811)
(2200, 2307)
(2221, 2391)
(2857, 3104)
(6486, 6587)
(2247, 2253)
(4904, 5052)
(2354, 2423)
(40, 51)
(767, 829)
(74, 243)
(4397, 4479)
(2145, 2260)
(219, 280)
(6439, 6517)
(41, 239)
(4468, 4482)
(1535, 1609)
(760, 779)
(5651, 5751)
(2316, 2354)
(798, 945)
(3043, 3087)
(299, 304)
(2960, 3116)
(1549, 1578)
(2241, 2308)
(5629, 5688)
(1439, 1653)
(2338, 2431)
(4340, 4431)
(2942, 3098)
(6478, 6512)
(895, 1006)
(5676, 5871)
(5118, 5185)
(1445, 1710)
(3692, 3764)
(892, 1021)
(4385, 4498)
(114, 223)
(1587, 1638)
(6325, 6455)
(4955, 5182)
(2160, 2380)
(1535, 1684)
(6365, 6587)
(1596, 1705)
(3617, 3644)
(2972, 3084)
(5111, 5151)
(969, 1000)
(140, 178)
(1413, 1624)
(2330, 2382)
(2875, 3090)
(2140, 2243)
(896, 1007)
(5034, 5148)
(2890, 3122)
(720, 803)
(2109, 2393)
(1427, 1498)
(3555, 3760)
(5625, 5665)
(240, 279)
(855, 857)
(2885, 2997)
(101, 301)
(2877, 2941)
(69, 286)
(758, 871)
(1613, 1698)
(5001, 5030)
(3596, 3726)
(906, 1030)
(2984, 2997)
(1414, 1619)
(4289, 4343)
(56, 210)
(3693, 3734)
(212, 227)
(4928, 5068)
(6355, 6403)
(1669, 1698)
(5088, 5179)
(4959, 5139)
(6404, 6543)
(6390, 6438)
(1613, 1650)
(4466, 4490)
(5619, 5651)
(5052, 5187)
(1458, 1606)
(4956, 5131)
(4219, 4479)
(3513, 3742)
(4307, 4490)
(2128, 2247)
(5148, 5176)
(6497, 6517)
(6393, 6553)
(2150, 2285)
(3084, 3124)
(822, 870)
(5613, 5894)
(101, 185)
(3550, 3741)
(4909, 4917)
(2801, 3054)
(5625, 5884)
(5751, 5829)
(767, 769)
(2849, 3015)
(1622, 1695)
(6364, 6572)
(1625, 1731)
(6398, 6572)
(3537, 3641)
(2216, 2346)
(3508, 3758)
(4959, 5199)
(6423, 6547)
(1622, 1670)
(202, 260)
(2842, 3014)
(3645, 3797)
(3556, 3741)
(6324, 6512)
(3546, 3628)
(2920, 3114)
(3537, 3778)
(2180, 2215)
(834, 945)
(761, 1007)
(1420, 1449)
(4302, 4336)
(5041, 5057)
(2101, 2428)
(4421, 4466)
(4490, 4498)
(2160, 2415)
(246, 312)
(158, 260)
(4281, 4443)
(4210, 4262)
(4904, 5173)
(153, 302)
(4450, 4470)
(30, 101)
(4262, 4458)
(108, 258)
(3567, 3664)
(2859, 3066)
(2109, 2401)
(2955, 3095)
(6388, 6533)
(5813, 5820)
(4386, 4407)
(2938, 3028)
(2901, 3089)
(3552, 3658)
(5025, 5148)
(5688, 5865)
(4285, 4389)
(4382, 4479)
(5646, 5763)
(5625, 5873)
(2231, 2371)
(5092, 5199)
(881, 926)
(735, 871)
(2249, 2269)
(4361, 4421)
(1619, 1700)
(2128, 2156)
(4379, 4440)
(6539, 6577)
(5003, 5092)
(3569, 3596)
(4205, 4446)
